ctryId,ctryLongNm
1,Canada
2,USA
3,Japan
4,Mexico
5,Algeria
6,Angola
7,Benin
8,Bissau
9,Botswana
10,Burkina Fasa
11,Cameroon
12,Central Afr. Rep
13,Chad
14,Congo
15,Egypt
16,Equat. Guinea
17,Eritrea
18,Ethiopia
19,Gabon
20,Gambia
21,Ghana
22,Guinea
23,Ivory Coast
24,Kenya
25,Liberia
26,Libya
27,Madagascar
28,Malawi
29,Mali
30,Mauritania
31,Mauritius
32,Morocco
33,Namibia
34,Niger
35,Nigeria
36,Sao Tome
37,Senegal
38,Seychelles
39,Sierra Leone
40,Somalia
41,South Africa
42,Sudan
43,Tanzania
44,Togo
45,Tunisia
46,Uganda
47,Zaire
48,Zambia
49,Zimbabwe
50,Afghanistan
51,Armenia
52,Azerbaijan
53,Kazakhstan
54,Kyrgyzstan
55,Mongolia
56,Tajikistan
57,Turkey
58,Turkmenistan
59,Uzbekistan
60,Australia
61,New Zealand
62,Papua New Guinea
63,Solomon Islands
64,Albania
65,Andora
66,Austria
67,Belarus
68,Belgium
69,Bosnia
70,Bulgaria
71,Croatia
72,Czech Rep
73,Denmark
74,Estonia
75,Finland
76,France
77,Germany
78,Georgia
79,Greece
80,Hungary
81,Irish Republic
82,Italy
83,Latvia
84,Belize
85,El Salvador
86,Guatemala
87,Honduras
88,Nicaragua
89,Panama
90,Puerto Rico
91,Argentina
92,Bolivia
93,Brazil
94,Chile
95,Colombia
96,Ecuador
97,Paraguay
98,Peru
99,Suriname
100,Uruguay
101,Venezuela
102,Brunei
103,Cambodia
104,Indonesia
105,Malaysia
106,Burma
107,Philippines
108,Singapore
109,Thailand
110,Laos
111,Vietnam
112,Bahrain
113,Lebanon
114,Iran
115,Iraq
116,Israel
117,Jordan
118,Kuwait
119,Oman
120,Qatar
121,Saudi Arabia
122,Syria
123,U.A.E.
124,Yemen
125,China
126,Hong Kong
127,Korea
128,Macau
129,Taiwan
130,Bangladesh
131,Bhutan
132,India
133,Maldives
134,Macadives
135,Nepal
136,Pakistan
137,Sri Lanka
138,Antiqa
139,Antilles
140,Bahamas
141,Bermuda
142,Cayman Isle
143,Cuba
144,Dominican Rep
145,Dominica 
146,Grenada
147,Guadeloupe
148,Haiti
149,Jamaica
150,Leeward Isle
151,Martinique
152,Santa Domingo
153,St Kits
154,St Lucia
155,St Thomas
156,Trinidad / Tobago
157,Turks / Cacaos
158,Guam
159,Truk
160,Marianas
161,Marshal Isle
162,Tahiti
163,England
164,Scotland
165,Ireland
166,Wales
167,Iceland
168,Greenland
169,Russia
170,Switzerland
171,Spain
172,Poland
173,Norway
174,Sweden
175,Liechtenstein
176,Luxembourg
177,Netherlands
178,Portugal
179,Monaco
180,Slovenia
181,Fiji
182,Republic of Columbia
183,Republic of Ronna
186,Unknown Country
